school,conference,athletics_domain,platform,url_2026,url_2025,url_2024,url_2023,url_2022,notes
Amherst College,NESCAC,athletics.amherst.edu,sidearm,https://athletics.amherst.edu/sports/baseball/stats/2026,https://athletics.amherst.edu/sports/baseball/stats/2025,https://athletics.amherst.edu/sports/baseball/stats/2024,https://athletics.amherst.edu/sports/baseball/stats/2023,https://athletics.amherst.edu/sports/baseball/stats/2022,pattern confirmed via search
Bates College,NESCAC,gobatesbobcats.com,sidearm,https://gobatesbobcats.com/sports/baseball/stats/2026,https://gobatesbobcats.com/sports/baseball/stats/2025,https://gobatesbobcats.com/sports/baseball/stats/2024,https://gobatesbobcats.com/sports/baseball/stats/2023,https://gobatesbobcats.com/sports/baseball/stats/2022,pattern confirmed via search
Bowdoin College,NESCAC,athletics.bowdoin.edu,sidearm,https://athletics.bowdoin.edu/sports/baseball/stats/2026,https://athletics.bowdoin.edu/sports/baseball/stats/2025,https://athletics.bowdoin.edu/sports/baseball/stats/2024,https://athletics.bowdoin.edu/sports/baseball/stats/2023,https://athletics.bowdoin.edu/sports/baseball/stats/2022,pattern confirmed via search
Colby College,NESCAC,colbyathletics.com,sidearm,https://colbyathletics.com/sports/baseball/stats/2026,https://colbyathletics.com/sports/baseball/stats/2025,https://colbyathletics.com/sports/baseball/stats/2024,https://colbyathletics.com/sports/baseball/stats/2023,https://colbyathletics.com/sports/baseball/stats/2022,pattern confirmed via search
Hamilton College,NESCAC,athletics.hamilton.edu,sidearm,https://athletics.hamilton.edu/sports/baseball/stats/2026,https://athletics.hamilton.edu/sports/baseball/stats/2025,https://athletics.hamilton.edu/sports/baseball/stats/2024,https://athletics.hamilton.edu/sports/baseball/stats/2023,https://athletics.hamilton.edu/sports/baseball/stats/2022,pattern confirmed via search
Middlebury College,NESCAC,athletics.middlebury.edu,sidearm,https://athletics.middlebury.edu/sports/baseball/stats/2026,https://athletics.middlebury.edu/sports/baseball/stats/2025,https://athletics.middlebury.edu/sports/baseball/stats/2024,https://athletics.middlebury.edu/sports/baseball/stats/2023,https://athletics.middlebury.edu/sports/baseball/stats/2022,pattern confirmed via search
Trinity College (CT),NESCAC,bantamsports.com,sidearm,https://bantamsports.com/sports/baseball/stats/2026,https://bantamsports.com/sports/baseball/stats/2025,https://bantamsports.com/sports/baseball/stats/2024,https://bantamsports.com/sports/baseball/stats/2023,https://bantamsports.com/sports/baseball/stats/2022,pattern confirmed via search
Tufts University,NESCAC,gotuftsjumbos.com,sidearm,https://gotuftsjumbos.com/sports/baseball/stats/2026,https://gotuftsjumbos.com/sports/baseball/stats/2025,https://gotuftsjumbos.com/sports/baseball/stats/2024,https://gotuftsjumbos.com/sports/baseball/stats/2023,https://gotuftsjumbos.com/sports/baseball/stats/2022,pattern confirmed via search
Wesleyan University,NESCAC,athletics.wesleyan.edu,sidearm,https://athletics.wesleyan.edu/sports/baseball/stats/2026,https://athletics.wesleyan.edu/sports/baseball/stats/2025,https://athletics.wesleyan.edu/sports/baseball/stats/2024,https://athletics.wesleyan.edu/sports/baseball/stats/2023,https://athletics.wesleyan.edu/sports/baseball/stats/2022,pattern confirmed via search
Williams College,NESCAC,ephsports.williams.edu,sidearm,https://ephsports.williams.edu/sports/baseball/stats/2026,https://ephsports.williams.edu/sports/baseball/stats/2025,https://ephsports.williams.edu/sports/baseball/stats/2024,https://ephsports.williams.edu/sports/baseball/stats/2023,https://ephsports.williams.edu/sports/baseball/stats/2022,pattern confirmed via search
Babson College,NEWMAC,babsonathletics.com,sidearm,https://babsonathletics.com/sports/baseball/stats/2026,https://babsonathletics.com/sports/baseball/stats/2025,https://babsonathletics.com/sports/baseball/stats/2024,https://babsonathletics.com/sports/baseball/stats/2023,https://babsonathletics.com/sports/baseball/stats/2022,pattern confirmed via search
Clark University,NEWMAC,clarkathletics.com,sidearm,https://clarkathletics.com/sports/baseball/stats/2026,https://clarkathletics.com/sports/baseball/stats/2025,https://clarkathletics.com/sports/baseball/stats/2024,https://clarkathletics.com/sports/baseball/stats/2023,https://clarkathletics.com/sports/baseball/stats/2022,pattern confirmed via search
U.S. Coast Guard Academy,NEWMAC,coastguardathletics.com,sidearm,https://coastguardathletics.com/sports/baseball/stats/2026,https://coastguardathletics.com/sports/baseball/stats/2025,https://coastguardathletics.com/sports/baseball/stats/2024,https://coastguardathletics.com/sports/baseball/stats/2023,https://coastguardathletics.com/sports/baseball/stats/2022,pattern confirmed via search
Emerson College,NEWMAC,emersonlions.com,sidearm,https://emersonlions.com/sports/baseball/stats/2026,https://emersonlions.com/sports/baseball/stats/2025,https://emersonlions.com/sports/baseball/stats/2024,https://emersonlions.com/sports/baseball/stats/2023,https://emersonlions.com/sports/baseball/stats/2022,pattern confirmed via search
MIT,NEWMAC,mitathletics.com,sidearm,https://mitathletics.com/sports/baseball/stats/2026,https://mitathletics.com/sports/baseball/stats/2025,https://mitathletics.com/sports/baseball/stats/2024,https://mitathletics.com/sports/baseball/stats/2023,https://mitathletics.com/sports/baseball/stats/2022,pattern confirmed via search
Salve Regina University,NEWMAC,salveathletics.com,sidearm,https://salveathletics.com/sports/baseball/stats/2026,https://salveathletics.com/sports/baseball/stats/2025,https://salveathletics.com/sports/baseball/stats/2024,https://salveathletics.com/sports/baseball/stats/2023,https://salveathletics.com/sports/baseball/stats/2022,in CNE through 2024; joined NEWMAC 2025
Springfield College,NEWMAC,springfieldcollegepride.com,sidearm,https://springfieldcollegepride.com/sports/baseball/stats/2026,https://springfieldcollegepride.com/sports/baseball/stats/2025,https://springfieldcollegepride.com/sports/baseball/stats/2024,https://springfieldcollegepride.com/sports/baseball/stats/2023,https://springfieldcollegepride.com/sports/baseball/stats/2022,pattern confirmed via search
