school,season,url,status,reason
Albertus Magnus College,2022,https://www.thegnac.com/sports/bsb/2021-22/teams/albertusmagnus,unresolved,no working URL pattern found on live site
Albertus Magnus College,2023,https://www.thegnac.com/sports/bsb/2022-23/teams/albertusmagnus,unresolved,no working URL pattern found on live site
Albertus Magnus College,2024,https://www.thegnac.com/sports/bsb/2023-24/teams/albertusmagnus,unresolved,no working URL pattern found on live site
Albertus Magnus College,2025,https://www.thegnac.com/sports/bsb/2024-25/teams/albertusmagnus,unresolved,no working URL pattern found on live site
Albertus Magnus College,2026,https://www.thegnac.com/sports/bsb/2025-26/teams/albertusmagnus,unresolved,no working URL pattern found on live site
Alfred University,2022,https://gosaxons.com/sports/baseball/stats/2022,http_or_parse,pattern found but 2022 page missing/empty: https://gosaxons.com/sports/baseball/stats/2022
Alfred University,2023,https://gosaxons.com/sports/baseball/stats/2023,http_or_parse,pattern found but 2023 page missing/empty: https://gosaxons.com/sports/baseball/stats/2023
Anderson University (IN),2022,https://athletics.anderson.edu/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Anderson University (IN),2023,https://athletics.anderson.edu/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Anderson University (IN),2024,https://athletics.anderson.edu/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Anderson University (IN),2025,https://athletics.anderson.edu/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Anderson University (IN),2026,https://athletics.anderson.edu/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Anna Maria College,2022,https://goamcats.com/sports/bsb/2021-22/teams/annamaria,unresolved,no working URL pattern found on live site
Anna Maria College,2023,https://goamcats.com/sports/bsb/2022-23/teams/annamaria,unresolved,no working URL pattern found on live site
Anna Maria College,2024,https://goamcats.com/sports/bsb/2023-24/teams/annamaria,unresolved,no working URL pattern found on live site
Anna Maria College,2025,https://goamcats.com/sports/bsb/2024-25/teams/annamaria,unresolved,no working URL pattern found on live site
Anna Maria College,2026,https://goamcats.com/sports/bsb/2025-26/teams/annamaria,unresolved,no working URL pattern found on live site
Austin College,2022,https://acroos.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Austin College,2023,https://acroos.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Austin College,2024,https://acroos.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Austin College,2025,https://acroos.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Austin College,2026,https://acroos.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Belhaven University,2022,https://blazersports.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Belhaven University,2023,https://blazersports.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Belhaven University,2024,https://blazersports.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Belhaven University,2025,https://blazersports.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Belhaven University,2026,https://blazersports.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Blackburn College,2022,https://blackburnbeavers.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Blackburn College,2023,https://blackburnbeavers.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
