school,conference,season,player,avg,gp,ab,r,h,2b,3b,hr,rbi,bb,so,sb,obp,slg
Amherst College,NESCAC,2026,"LaFreniere, Charlie",0.379,39-38,132,32,50,11,0,2,36,23,13,4-4,0.467,0.508
Amherst College,NESCAC,2026,"McCord, Tyler",0.36,40-40,161,39,58,12,2,0,38,18,13,18-21,0.438,0.46
Amherst College,NESCAC,2026,"Orridge, Justin",0.337,30-28,98,27,33,6,0,2,24,19,11,1-1,0.446,0.459
Amherst College,NESCAC,2026,"Dubetsky, Aiden",0.325,40-39,157,35,51,8,0,0,27,23,10,5-5,0.414,0.376
Amherst College,NESCAC,2026,"Boyer, Jackson",0.316,37-36,136,33,43,14,2,0,29,19,14,12-14,0.415,0.449
Amherst College,NESCAC,2026,"Foust, Leo",0.315,38-36,146,40,46,4,0,2,25,9,22,12-12,0.364,0.384
Amherst College,NESCAC,2026,"Carnahan, Zander",0.309,36-35,136,33,42,7,0,3,36,14,19,5-6,0.379,0.426
Amherst College,NESCAC,2026,"Ames, Carson",0.307,38-38,127,26,39,7,1,0,30,23,13,1-1,0.412,0.378
Amherst College,NESCAC,2026,"Ciechanover, Gabriel",0.333,5-0,6,1,2,1,0,0,3,0,2,0-0,0.333,0.5
Amherst College,NESCAC,2026,"Dearie, Coulter",0.333,2-0,3,0,1,0,0,0,0,0,2,0-0,0.333,0.333
Amherst College,NESCAC,2026,"Merced, Oliver",0.3,8-1,10,5,3,0,0,0,2,4,3,0-0,0.563,0.3
Amherst College,NESCAC,2026,"Grimes, J.J.",0.296,17-15,54,13,16,6,0,1,10,6,14,1-1,0.377,0.463
Amherst College,NESCAC,2026,"Chen, Matthew",0.281,16-7,32,8,9,3,0,0,6,5,4,0-0,0.41,0.375
Amherst College,NESCAC,2026,"Darcy, Jack",0.237,26-22,76,16,18,2,2,0,21,16,17,1-2,0.383,0.316
Amherst College,NESCAC,2026,"Fulcher-Melendy, Hudson",0.222,12-6,27,4,6,2,0,0,4,1,2,1-1,0.25,0.296
Amherst College,NESCAC,2026,"Smith, Ben",0.22,21-19,50,14,11,3,0,0,9,11,12,0-0,0.467,0.28
Amherst College,NESCAC,2026,"Caron, Adrian",0.0,12-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Amherst College,NESCAC,2026,"Chae, Yoon",0.0,10-1,0,3,0,0,0,0,0,0,0,1-1,0.0,0.0
Amherst College,NESCAC,2025,"Orridge, Justin",0.362,29-28,94,18,34,6,1,1,25,20,11,3-4,0.474,0.479
Amherst College,NESCAC,2025,"McCord, Tyler",0.354,33-33,127,28,45,10,0,2,20,19,15,20-21,0.436,0.48
Amherst College,NESCAC,2025,"Sampedro, Jack",0.351,34-34,134,33,47,11,0,2,34,20,17,5-8,0.427,0.478
Amherst College,NESCAC,2025,"LaFreniere, Charlie",0.347,34-34,124,27,43,4,0,0,32,25,17,6-6,0.465,0.379
Amherst College,NESCAC,2025,"McIntyre, Ryan",0.344,32-31,122,31,42,4,2,4,27,15,20,11-12,0.434,0.508
Amherst College,NESCAC,2025,"Boyle, Jack",0.279,34-34,129,39,36,3,4,0,23,24,23,35-38,0.405,0.364
